2019-10-16 13:35:23 status unpacked firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1
2019-10-16 13:35:23 startup packages configure
2019-10-16 13:35:23 configure firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1 <ninguna>
2019-10-16 13:35:23 status unpacked firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1
2019-10-16 13:35:23 status half-configured firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1
2019-10-16 13:35:23 status installed firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1
2019-10-16 13:35:28 startup archives unpack
2019-10-16 13:35:28 upgrade python2.7-dev:amd64 2.7.16-2ubuntu0.1 2.7.16-2ubuntu0.2
2019-10-16 13:35:28 status half-configured python2.7-dev:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:28 status unpacked python2.7-dev:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:28 status half-installed python2.7-dev:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:28 status triggers-pending man-db:amd64 2.8.5-2
2019-10-16 13:35:28 status unpacked python2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:29 upgrade libpython2.7-dev:amd64 2.7.16-2ubuntu0.1 2.7.16-2ubuntu0.2
2019-10-16 13:35:29 status half-configured libpython2.7-dev:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:29 status unpacked libpython2.7-dev:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:29 status half-installed libpython2.7-dev:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:32 status unpacked libpython2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:32 upgrade libpython2.7:amd64 2.7.16-2ubuntu0.1 2.7.16-2ubuntu0.2
2019-10-16 13:35:32 status triggers-pending libc-bin:amd64 2.29-0ubuntu2
2019-10-16 13:35:32 status half-configured libpython2.7:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:32 status unpacked libpython2.7:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:33 status half-installed libpython2.7:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:33 status unpacked libpython2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:33 upgrade python2.7:amd64 2.7.16-2ubuntu0.1 2.7.16-2ubuntu0.2
2019-10-16 13:35:33 status half-configured python2.7:amd64 2.7.16-2ubuntu0.1
